region,ISO3,date,ais_portcalls_container,ais_portcalls_general_cargo,ais_portcalls_dry_bulk,ais_portcalls_roro,ais_portcalls_tanker,ais_import_tanker,ais_export_tanker,ais_import_dry_bulk,ais_export_dry_bulk,ais_import_container,ais_export_container,ais_import_general_cargo,ais_export_general_cargo,ais_import_roro,ais_export_roro,value_import_total,value_export_total,volume_export_total,volume_import_total,trade_value,trade_volume,ObjectId
China,CHN,2022/01/01,6053,2239,6420,405,5678,53096638.7696715,16913844.6819609,198984049.290523,75384803.6216304,76822600.0100918,110636160.062498,3767800.241387,3408946.03887705,173521.830946506,447574.994439151,135.688243633126,131.069709526415,114.438319600723,110.852870027841,132.655868614286,112.645594814282,2954
China,CHN,2022/02/01,5089,1718,5403,377,4833,42565233.9155619,13992322.7266002,169182498.489386,60305557.4704394,64509602.2787725,84785036.2199759,3234083.239147,2542558.48427587,160641.985883019,388654.366617281,116.521975982073,102.49369875597,88.096399776189,92.808420911288,107.311478357732,90.4524103437384,2955
China,CHN,2022/03/01,5888,2198,5811,404,5330,49845819.444001,16430126.2884939,174968165.387285,67861278.1115068,77121704.0897073,105498687.10101,3730450.30474379,3255146.43377326,228406.03901561,353135.797608472,142.864987127509,129.265097901722,108.708801299044,108.074020850714,133.935754735927,108.391411074879,2956
China,CHN,2022/04/01,5735,2271,5824,334,5202,48812228.7984428,15538956.391705,180609970.205342,64443672.6003784,73692718.1507256,104130124.465457,3616967.64469856,3345301.23479836,186314.351261748,296467.825296572,136.718793936664,126.755603549879,106.989682333174,104.862077022507,130.177296366486,105.925879677841,2957
China,CHN,2022/05/01,6069,2447,6015,380,5403,49895023.4557174,16429187.9251476,176276671.635202,68162435.2601226,77543850.4212691,112615963.074855,3953372.12086621,3624949.64497123,170224.067205412,357557.934391944,140.584228822275,136.062661246353,115.525878999679,108.767793939782,137.615518784322,112.146836469731,2958
China,CHN,2022/06/01,5986,2331,5911,426,5261,44090277.9151336,16119558.5336435,177870802.656907,63455321.8835573,78781946.7667155,114506831.387848,3502799.85726926,3556064.70658186,191072.542356835,386357.338836944,142.971361605426,139.446634422111,116.737247995637,107.879096286775,140.657143628042,112.308172141206,2959
China,CHN,2022/07/01,6385,2483,5956,458,5391,47096770.4010381,18274540.7945548,183285624.857837,67725751.1730974,82919912.3472926,118671879.918737,3536234.63892035,3716874.60826707,253577.487477121,436268.304421499,148.882591128515,144.053975932034,121.621454975397,113.36312268503,145.712283892692,117.492288830214,2960
China,CHN,2022/08/01,6359,2467,5868,455,5424,45841383.8528772,17414041.1167282,184575146.362547,66869185.0917106,80773298.6085283,112024464.8477,3909744.1062861,3440632.25626244,204065.102883505,494278.962346708,147.289643423945,136.226199280385,115.093940002467,111.291002855203,140.02575603714,113.192471428835,2961
China,CHN,2022/09/01,5944,2237,5721,423,5138,46072283.0531343,14742103.2775587,176217657.497068,62221228.9192088,78145271.0667714,107062190.583591,3264257.15419198,3221142.91522171,173293.949359988,417084.714411416,136.988050333396,126.757181746085,109.253413562527,107.519912566543,130.270804209757,108.386663064535,2962
China,CHN,2022/10/01,6097,2316,6059,408,5843,53569031.2034606,18751945.1985029,190006574.279713,65023319.4839526,78565354.54157,105447181.479005,3493979.11292717,3371291.56589735,180748.164135589,447711.141880085,136.182252283234,124.801142853612,108.98241822841,111.254227468688,128.709796494518,110.118322848549,2963
