date,year,month,day,portid,portname,n_container,n_dry_bulk,n_general_cargo,n_roro,n_tanker,n_cargo,n_total,capacity_container,capacity_dry_bulk,capacity_general_cargo,capacity_roro,capacity_tanker,capacity_cargo,capacity,ObjectId
2019/03/22 00:00:00+00,2019,3,22,chokepoint1,Suez Canal,12,12,4,1,17,29,46,725534.541495496,543497.072753701,13894.9849637946,2875.47142709704,570107.434679937,1285802.07064009,1855909.50532003,81
2019/03/23 00:00:00+00,2019,3,23,chokepoint1,Suez Canal,19,6,3,2,18,30,48,1138010.76014217,483167.282936198,9031.74112154764,6501.37442584503,1036671.85973084,1636711.15862577,2673383.0183566,82
2019/03/24 00:00:00+00,2019,3,24,chokepoint1,Suez Canal,12,9,9,2,19,32,51,640262.657954235,435131.688471069,30214.0175167676,7505.73831067992,844695.077485009,1113114.10225275,1957809.17973776,83
2019/03/25 00:00:00+00,2019,3,25,chokepoint1,Suez Canal,14,6,5,1,20,26,46,752816.893502328,497320.707899183,29031.598680449,3456.85027080058,903055.655052033,1282626.05035276,2185681.70540479,84
2019/03/26 00:00:00+00,2019,3,26,chokepoint1,Suez Canal,17,9,2,2,16,30,46,1100927.27593517,563851.742345802,38863.3909148026,15641.0014686408,879105.736048228,1719283.41066441,2598389.14671264,85
2019/03/27 00:00:00+00,2019,3,27,chokepoint1,Suez Canal,21,12,2,3,7,38,45,1307072.18975574,825749.003699468,1924.51130795,11721.3856871485,299312.26671378,2146467.0904503,2445779.35716408,86
2019/03/28 00:00:00+00,2019,3,28,chokepoint1,Suez Canal,14,19,5,7,18,45,63,619071.068019643,804382.158698909,20012.7742267436,34438.5902975107,729387.526888192,1477904.59124281,2207292.118131,87
2019/03/29 00:00:00+00,2019,3,29,chokepoint1,Suez Canal,22,10,4,3,19,39,58,1658569.76281083,387574.507820295,34256.7441805185,9528.27550102141,853104.071631489,2089929.29031267,2943033.36194416,88
2019/03/30 00:00:00+00,2019,3,30,chokepoint1,Suez Canal,21,5,1,2,12,29,41,1562116.67789707,219032.854025071,6678.815031,9522.54142698645,576235.851741392,1797350.88838013,2373586.74012152,89
2019/03/31 00:00:00+00,2019,3,31,chokepoint1,Suez Canal,11,8,2,2,11,23,34,509189.895457862,438022.936768069,19210.2477665042,4148.48889627803,914563.60609817,970571.568888712,1885135.17498688,90
2019/04/01 00:00:00+00,2019,4,1,chokepoint1,Suez Canal,18,13,9,3,24,43,67,711632.367620166,674527.54948617,12198.2600439296,8509.59025177907,1198670.79450108,1406867.76740204,2605538.56190312,91
2019/04/02 00:00:00+00,2019,4,2,chokepoint1,Suez Canal,16,16,5,3,14,40,54,808707.165169596,999832.406524819,21902.3431660581,17646.0276626367,487759.775402264,1848087.94252311,2335847.71792537,92
2019/04/03 00:00:00+00,2019,4,3,chokepoint1,Suez Canal,20,7,1,4,17,32,49,1388094.69860168,429706.282735055,0,19488.9666391832,815591.448328192,1837289.94797591,2652881.39630411,93
2019/04/04 00:00:00+00,2019,4,4,chokepoint1,Suez Canal,17,12,4,2,19,35,54,863930.195148278,657927.030999527,23999.1705940039,6700.17248069458,1177208.75228245,1552556.5692225,2729765.32150495,94
